Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,509784,511447,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331,524877
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,952.2746163,1088.981528,1192.80263,1305.660097,1431.563965,1547.320104,1675.195557,1826.353917,2036.673776,2225.877055,2081.739142,2167.403242,2325.0305,2429.748535,2627.879697
Cambodia,KHM,"Population, total",SP.POP.TOTL,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1398.58702,1513.96057,1449.098744,1575.928821,1649.443391,1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1736.860911,1762.368351
Cameroon,CMR,"Population, total",SP.POP.TOTL,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,47560.6666,52223.85884,52670.34473,52638.11872,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52886.66164,56256.80073,54220.3285,54282.61761
Canada,CAN,"Population, total",SP.POP.TOTL,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,12594.87351,13449.48077,14172.89047,14504.7156,14888.54404,14402.47258,13297.74435,13637.12072,13815.32652,13938.20232,11925.7574,13833.30993,17355.83666,17582.26368,20173.95647
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,4173335,4201107,4228445,4257682,4286546,4314191,4341333,4366140,4407658,4443134,4459302,4479167,4497310,4519904,4539060
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,76837.66996,75280.96076,75101.59136,75113.73324,75845.30604,76379.20951,77802.25416,80053.94445,83865.55316,88254.29037,82338.79829,86438.44526,92202.1478,97749.5079,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,54099,55606,57136,58655,60160,61642,63100,64535,65941,67327,68684,70108,71591,73038,74457
